id,book_name,author,publication_year,price,is_available
411,Great Expectations,Charles Dickens,2016-04-18,1981,FALSE
412,Don Quixote,Miguel de Cervantes,1967-06-30,1391,TRUE
413,The Odyssey,Homer,1958-05-26,594,FALSE
414,Frankenstein,Mary Shelley,1928-04-29,1889,TRUE
415,Don Quixote,Miguel de Cervantes,1959-08-22,1981,FALSE
416,The Picture of Dorian Gray,Oscar Wilde,1932-09-13,687,TRUE
417,The Count of Monte Cristo,Alexandre Dumas,2020-04-02,1514,FALSE
418,The Count of Monte Cristo,Alexandre Dumas,1915-08-12,1687,TRUE
419,The Iliad,Homer,1990-11-04,553,FALSE
420,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1986-08-29,1787,TRUE
421,Crime and Punishment,Fyodor Dostoevsky,1907-06-19,1459,TRUE
422,War and Peace,Leo Tolstoy,1946-02-27,1613,TRUE
423,A Tale of Two Cities,Charles Dickens,2002-04-24,1963,FALSE
424,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1963-10-29,1540,FALSE
425,The Count of Monte Cristo,Alexandre Dumas,2005-12-06,1041,TRUE
426,The Iliad,Homer,1913-07-30,1360,FALSE
427,A Tale of Two Cities,Charles Dickens,1933-07-09,399,TRUE
428,The Count of Monte Cristo,Alexandre Dumas,1949-01-06,1218,FALSE
429,Anna Karenina,Leo Tolstoy,1924-05-17,1370,FALSE
430,Sense and Sensibility,Jane Austen,1994-05-03,1648,TRUE
431,War and Peace,Leo Tolstoy,1945-05-02,282,TRUE
432,The Iliad,Homer,1898-05-21,1284,TRUE
433,A Tale of Two Cities,Charles Dickens,1920-08-30,696,FALSE
434,The Brothers Karamazov,Fyodor Dostoevsky,2009-03-15,1948,TRUE
435,Crime and Punishment,Fyodor Dostoevsky,1949-06-06,693,FALSE
436,Dracula,Bram Stoker,1997-07-07,827,TRUE
437,Don Quixote,Miguel de Cervantes,1961-03-03,316,FALSE
438,Les Misérables,Victor Hugo,1879-01-10,524,TRUE
439,Sense and Sensibility,Jane Austen,1995-11-28,532,TRUE
440,The Iliad,Homer,1959-05-17,1455,FALSE
441,The Iliad,Homer,1941-02-15,719,FALSE
442,A Tale of Two Cities,Charles Dickens,1996-07-20,1112,FALSE
443,Moby-Dick,Herman Melville,1929-05-17,404,FALSE
444,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1966-02-22,1959,FALSE
445,The Adventures of Sherlock Holmes,Arthur Conan Doyle,2020-05-06,579,FALSE
446,Sense and Sensibility,Jane Austen,1930-04-11,616,FALSE
447,The Odyssey,Homer,1899-06-09,1242,FALSE
448,Crime and Punishment,Fyodor Dostoevsky,1983-04-02,1297,TRUE
449,Frankenstein,Mary Shelley,1998-12-22,1742,TRUE
450,Don Quixote,Miguel de Cervantes,1881-08-16,1007,TRUE
451,Jane Eyre,Charlotte Brontë,1907-11-07,1508,TRUE
452,Les Misérables,Victor Hugo,1895-10-15,513,FALSE
453,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1864-06-15,1047,FALSE
454,Les Misérables,Victor Hugo,1910-08-12,1916,FALSE
455,The Odyssey,Homer,1879-08-14,603,TRUE
456,Moby-Dick,Herman Melville,1889-03-31,1303,FALSE
457,Dracula,Bram Stoker,1942-08-03,1062,TRUE
458,War and Peace,Leo Tolstoy,1885-05-06,1988,TRUE
459,The Iliad,Homer,1861-02-07,1229,TRUE
460,Sense and Sensibility,Jane Austen,2020-01-25,1092,FALSE
461,The Iliad,Homer,1892-05-12,1585,TRUE
462,The Iliad,Homer,2001-09-23,1858,FALSE
463,Dracula,Bram Stoker,1917-06-28,1775,FALSE
464,A Tale of Two Cities,Charles Dickens,1914-11-23,1687,TRUE
465,The Adventures of Sherlock Holmes,Arthur Conan Doyle,2000-03-03,903,FALSE
466,The Iliad,Homer,2002-09-04,1041,FALSE
467,Moby-Dick,Herman Melville,1943-06-23,306,FALSE
468,The Odyssey,Homer,1863-12-03,711,FALSE
469,Jane Eyre,Charlotte Brontë,1929-06-24,1121,TRUE
470,Wuthering Heights,Emily Brontë,1913-10-11,251,TRUE
471,Sense and Sensibility,Jane Austen,1946-02-14,1363,FALSE
472,Jane Eyre,Charlotte Brontë,1944-04-02,829,TRUE
473,The Brothers Karamazov,Fyodor Dostoevsky,1931-10-23,1806,TRUE
474,Crime and Punishment,Fyodor Dostoevsky,1869-01-21,1205,TRUE
475,Dracula,Bram Stoker,1958-01-28,1568,TRUE
476,Dracula,Bram Stoker,1902-05-17,292,TRUE
477,Moby-Dick,Herman Melville,1853-11-12,1023,FALSE
478,A Tale of Two Cities,Charles Dickens,1941-02-06,797,FALSE
479,Crime and Punishment,Fyodor Dostoevsky,2003-08-12,1874,TRUE
480,Anna Karenina,Leo Tolstoy,1863-04-23,1899,FALSE
481,The Count of Monte Cristo,Alexandre Dumas,1957-01-31,1306,FALSE
482,Jane Eyre,Charlotte Brontë,1875-07-25,757,FALSE
483,Anna Karenina,Leo Tolstoy,1916-11-16,1206,FALSE
484,Don Quixote,Miguel de Cervantes,1894-08-23,227,TRUE
485,Les Misérables,Victor Hugo,1937-11-18,1644,TRUE
486,Jane Eyre,Charlotte Brontë,2005-12-06,1933,TRUE
487,Wuthering Heights,Emily Brontë,1979-02-05,1664,FALSE
488,Anna Karenina,Leo Tolstoy,1893-05-20,1816,FALSE
489,The Odyssey,Homer,1975-12-02,1363,TRUE
490,War and Peace,Leo Tolstoy,2015-01-13,1633,FALSE
491,Dracula,Bram Stoker,1932-04-14,1413,TRUE
492,A Tale of Two Cities,Charles Dickens,2004-02-16,1797,FALSE
493,The Count of Monte Cristo,Alexandre Dumas,1917-06-11,939,FALSE
494,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1958-07-06,621,TRUE
495,Les Misérables,Victor Hugo,1855-11-12,648,FALSE
496,Anna Karenina,Leo Tolstoy,1859-05-31,1265,FALSE
497,The Odyssey,Homer,1910-07-10,1176,TRUE
498,Wuthering Heights,Emily Brontë,1989-02-03,628,FALSE
499,Frankenstein,Mary Shelley,1924-12-23,461,FALSE
500,Jane Eyre,Charlotte Brontë,1866-08-23,1359,FALSE
